DEPTH,CMSE_lateral,Shmin_lateral
8001,27723.93945,2065.528809
8002,27020.20117,2071.840088
8003,26753.41797,2073.964111
8004,26601.96094,2073.568604
8005,26331.01563,2077.433594
8006,26157.29297,2074.984131
8007,26048.20117,2076.40625
8008,26038.22461,2076.675049
8009,26254.66992,2078.331055
8010,26120.38672,2082.509766
8011,26390.86133,2086.613281
8012,26341.22266,2089.519287
8013,26293.60156,2092.01709
8014,26236.06055,2093.378906
8015,25877.77734,2100.970215
8016,25714.29297,2106.193848
8017,25235.48633,2114.566895
8018,25068.00391,2117.196289
8019,24942.24805,2119.793213
8020,24872.4707,2121.67041
8021,24864.75,2122.513184
8022,24744.33398,2123.04248
8023,24671.33594,2124.128662
8024,24617.17969,2125.518066
8025,24545.57227,2127.971191
8026,24497.2168,2127.526855
8027,24463.24414,2125.996338
8028,24588.10547,2125.847168
8029,24583.03711,2125.503174
8030,24541.03711,2124.832031
8031,24461.8457,2124.04541
8032,24396.33984,2112.344238
8033,24331.4375,2100.335449
8034,24349.04883,2088.106689
8035,24388.14258,2075.139648
8036,24488.48438,2062.398682
8037,24636.33398,2053.976807
8038,24770.05078,2047.387695
8039,24905.73633,2042.219727
8040,24912.57227,2041.901489
8041,24919.41016,2041.58313
8042,24926.24609,2041.264893
8043,24933.08398,2040.946533
8044,24939.91992,2040.628296
8045,24946.75781,2040.309937
8046,24953.59375,2039.991699
8047,25740.66602,2037.981323
8048,26152.32227,2034.835815
8049,26445.83594,2039.047485
8050,26631.63867,2043.685181
8051,26665.36719,2049.308105
8052,26665.44141,2055.938965
8053,26339.77734,2059.141846
8054,26014.11133,2062.344727
8055,25927.8418,2064.690674
8056,25967.51367,2065.73584
8057,26086.55078,2065.566406
8058,26330.21484,2063.441895
8059,26590.29102,2060.525391
8060,26748.57813,2058.630615
8061,26729.29688,2059.631104
8062,26699.86328,2060.69751
8063,26705.7207,2061.528564
8064,26768.70898,2061.814697
8065,26845.72656,2061.231689
8066,26956.8457,2060.058838
8067,27067.74414,2059.184082
8068,27168.35547,2058.48999
8069,27258.38672,2057.527588
8070,27336.16016,2056.83374
8071,27400.38477,2056.365234
8072,27413.13867,2056.186279
8073,27397.59961,2056
8074,27426.78125,2055.194824
8075,27472.4082,2054.387695
8076,27485.89648,2053.580566
8077,27502.71289,2052.456299
8078,27552.87891,2050.975342
8079,27652.98633,2049.501709
8080,27715.40234,2048.692383
8081,27774.90039,2048.327148
8082,27856.24023,2046.987793
8083,27940.81641,2045.970703
8084,28011.95703,2045.421631
8085,28036.45898,2045.18042
8086,28046.94922,2044.140625
8087,28110.25391,2042.5979
8088,28127.53125,2041.420166
8089,28105.49023,2040.172241
8090,28097.40039,2038.730591
8091,28160.95117,2040.557007
8092,28298.80469,2042.853271
8093,28353.58203,2043.856201
8094,28440.67578,2042.713745
8095,28573.23828,2040.885254
8096,28426.39844,2038.866943
8097,28163.5,2037.62085
8098,28006.85352,2036.886597
8099,27998.22656,2035.541504
8100,28001.0332,2034.70459
8101,28013.72266,2034.004639
8102,28294.78125,2029.613159
8103,28668.10742,2023.853516
8104,28937.48242,2020.338135
8105,29046.54688,2018.509766
8106,29138.83984,2016.477295
8107,29245.45313,2014.905518
8108,29417.92578,2013.131348
